company_name,sector,company_size,initial_capital,establishment_date,active,death_date,x,y
天津君展汽车厢体有限公司,Parts,XS(微型),18415.46,2012-05-14,True,,5.2328,10.6751
天津昌金机电设备有限公司,Parts,S(小型),92853.32,2004-01-18,True,,0.6288,8.5443
天津市木星滤清器有限公司,Parts,XS(微型),17773.51,2003-03-07,True,,3.4891,7.8472
天津市盛润达汽车配件有限公司,Parts,XS(微型),8352.72,2014-11-06,True,,1.9107,9.6076
天津市港田综合福利厂,Parts,XS(微型),5108.29,1990-04-02,True,,12.267,-10.8262
天津鑫淼盛源汽车部品有限公司,Parts,XS(微型),18108.12,2009-06-23,True,,-9.8015,1.0023
天津市恩泰克汽车内饰有限公司,Electronics,XS(微型),9052.38,2012-02-24,True,,-14.4191,1.0858
天津赛翔汽车装饰用品有限公司,Electronics,XS(微型),19096.52,2007-12-28,True,,-6.5651,-2.752
天津市隆晟车厢有限公司,Parts,S(小型),94312.98,2005-09-28,True,,-12.4119,-6.1221
天津捷通汽车部件有限公司,Parts,S(小型),78932.89,2016-11-11,True,,4.0486,-14.9665
天津日科功能材料有限公司,Parts,XS(微型),7520.49,2007-08-07,True,,1.5161,-13.3277
天津海信智行汽车电子有限公司,Electronics,S(小型),37170.79,2023-10-31,True,,7.1425,-16.4812
天津市华辰嘉业汽车零部件有限公司,Parts,XS(微型),16270.67,2013-10-10,True,,-2.9163,10.2391
天津自强集团有限公司,Parts,M(中型),166540.16,1997-01-23,False,,-8.7315,6.5946
天津华松电动汽车配件制造有限公司,Parts,XS(微型),6324.33,2012-08-30,False,2025-08-13,9.6088,-2.7063
天津凯达汽车部品有限公司,Parts,XS(微型),10819.27,2022-07-12,True,,-6.6332,-2.8487
天津正泽汽车部件有限公司,Parts,XS(微型),18305.91,2001-11-12,True,,10.2317,8.081
天津未来汽车部品有限公司,Parts,S(小型),61310.37,2006-07-20,True,,8.3896,11.4566
